Date,Close
1/31/2023,199.43
2/1/2023,201.2
2/2/2023,204.73
2/3/2023,203.95
2/6/2023,202.33
2/7/2023,200.25
2/8/2023,203.38
2/9/2023,204.15
2/10/2023,202.9
2/13/2023,200.3
2/14/2023,202.55
2/15/2023,203.7
2/16/2023,204.95
2/17/2023,203.15
2/20/2023,203.53
2/21/2023,201.38
2/22/2023,197.58
2/23/2023,196.98
2/24/2023,196.65
2/27/2023,195.18
2/28/2023,193.53
3/1/2023,195.48
3/2/2023,194.03
3/3/2023,195.23
3/6/2023,196.88
3/8/2023,196.3
3/9/2023,195.05
3/10/2023,194.55
3/13/2023,192.73
3/14/2023,189.73
3/15/2023,187.88
3/16/2023,186.43
3/17/2023,188.25
3/20/2023,183.58
3/21/2023,183.2
3/22/2023,183.2
3/23/2023,180.75
3/24/2023,180.88
3/27/2023,180.63
3/28/2023,178.1
3/29/2023,179.53
3/31/2023,182.63
4/3/2023,183.98
4/5/2023,184.88
4/6/2023,183.33
4/10/2023,186.65
4/11/2023,185.13
4/12/2023,186.08
4/13/2023,184.15
4/17/2023,180.68
4/18/2023,183.95
4/19/2023,180.4
4/20/2023,181.43
4/21/2023,184.03
4/24/2023,188.98
4/25/2023,187.83
4/26/2023,187.28
4/27/2023,187.2
4/28/2023,192.5
5/2/2023,194.18
5/3/2023,192.55
5/4/2023,191.85
5/5/2023,189.7
5/8/2023,190.18
5/9/2023,191.15
5/10/2023,191.88
5/11/2023,192.33
5/12/2023,191.63
5/15/2023,192.88
5/16/2023,193.48
5/17/2023,191.15
5/18/2023,191.3
5/19/2023,193.1
5/22/2023,197.88
5/23/2023,198.83
5/24/2023,199.85
5/25/2023,197.05
5/26/2023,200.85
5/29/2023,199.9
5/30/2023,201.25
5/31/2023,201.83
6/1/2023,203.58
6/2/2023,202.48
6/5/2023,202.1
6/6/2023,199.98
6/7/2023,201.4
6/8/2023,199.78
6/9/2023,198.65
6/12/2023,197.8
6/13/2023,197.78
6/14/2023,198.23
6/15/2023,194.48
6/16/2023,190.65
6/19/2023,190.08
6/20/2023,191.25
6/21/2023,192.75
6/22/2023,191.15
6/23/2023,189.98
6/26/2023,190.45
6/27/2023,191.3
6/28/2023,190.85
6/30/2023,194.58
7/3/2023,195.8
7/4/2023,197.98
7/5/2023,196.95
7/6/2023,198.1
7/7/2023,197.93
7/10/2023,194.98
7/11/2023,196.03
7/12/2023,195.93
7/13/2023,197.15
7/14/2023,202.53
7/17/2023,207.63
7/18/2023,208.6
7/19/2023,208.98
7/20/2023,208.83
7/21/2023,202.35
7/24/2023,202.03
7/25/2023,200.2
7/26/2023,201.38
7/27/2023,199.98
7/28/2023,199.38
7/31/2023,202.53
8/1/2023,203.48
8/2/2023,201.4
8/3/2023,199.83
8/4/2023,204.43
8/7/2023,205.58
8/8/2023,208.18
8/9/2023,208.9
8/10/2023,209.33
8/11/2023,206.53
8/14/2023,207.58
8/16/2023,209.33
8/17/2023,208.78
8/18/2023,205.85
8/21/2023,207.3
8/22/2023,208.55
8/23/2023,207.63
8/24/2023,206.35
8/25/2023,204.85
8/28/2023,204.03
8/29/2023,204.05
8/30/2023,203.6
8/31/2023,204.2
9/1/2023,208.18
9/4/2023,217.05
9/5/2023,215.93
9/6/2023,214.65
9/7/2023,216.43
9/8/2023,215
9/11/2023,217.43
9/12/2023,217.5
9/13/2023,217.85
9/14/2023,218.23
9/15/2023,220.53
9/18/2023,218.05
9/20/2023,215.05
9/21/2023,214.48
9/22/2023,209.25
9/25/2023,207.05
9/26/2023,206.45
9/27/2023,207.83
9/28/2023,202.68
9/29/2023,203.03
10/3/2023,202.73
10/4/2023,202.45
10/5/2023,203.4
10/6/2023,203.93
10/9/2023,202.8
10/10/2023,203.88
10/11/2023,210.58
10/12/2023,208.55
10/13/2023,205.53
10/16/2023,205.1
10/17/2023,205.7
10/18/2023,203.73
10/19/2023,197.65
10/20/2023,195.93
10/23/2023,191.58
10/25/2023,190.93
10/26/2023,189.13
10/27/2023,191.18
10/30/2023,191
10/31/2023,190.9
11/1/2023,190.48
11/2/2023,191.83
11/3/2023,191.78
11/6/2023,192.33
11/7/2023,191.65
11/8/2023,191.1
11/9/2023,190.43
11/10/2023,189.65
11/13/2023,190.83
11/15/2023,195.83
11/16/2023,198.55
11/17/2023,197.7
11/20/2023,200.1
11/21/2023,200.33
11/22/2023,200.13
11/23/2023,201.25
11/24/2023,198
11/28/2023,198.43
11/29/2023,203.13
11/30/2023,206.53
12/1/2023,203.83
12/4/2023,203.73
12/5/2023,202.18
12/6/2023,209.38
12/7/2023,209.13
12/8/2023,211.3
12/11/2023,210.3
12/12/2023,211.1
12/13/2023,209.83
12/14/2023,217.2
12/15/2023,223.28
12/18/2023,222.63
12/19/2023,219.35
12/20/2023,215.98
12/21/2023,217
12/22/2023,231.33
12/26/2023,235.05
12/27/2023,235.48
12/28/2023,234.73
12/29/2023,235.65
1/1/2024,238.58
1/2/2024,234.6
1/3/2024,227.95
1/4/2024,226.2
1/5/2024,228.3
1/8/2024,225.18
1/9/2024,225.38
1/10/2024,226.8
1/11/2024,224.1
1/12/2024,232.73
1/15/2024,247.3
1/16/2024,242.5
1/17/2024,241.2
1/18/2024,241.33
1/19/2024,242.53
1/23/2024,234.95
1/24/2024,239.03
1/25/2024,235
1/29/2024,236.5
1/30/2024,236.25
1/31/2024,239.08
2/1/2024,235.68
2/2/2024,241.58
2/5/2024,241.18
2/6/2024,249.83
2/7/2024,247.6
2/8/2024,244.43
2/9/2024,245.23
2/12/2024,250.73
2/13/2024,255.8
2/14/2024,257.25
2/15/2024,259.25
2/16/2024,271.5
2/19/2024,267.98
2/20/2024,265.98
2/21/2024,260.7
2/22/2024,265.52
2/23/2024,268.08
2/26/2024,266.45
2/27/2024,265.73
2/28/2024,258.85
2/29/2024,259.3
3/1/2024,259.55
3/4/2024,260.25
3/5/2024,256.65
3/6/2024,256.58
3/7/2024,257.75
3/11/2024,257.27
3/12/2024,255.43
3/13/2024,252.2
3/14/2024,258.98
3/15/2024,258.5
3/18/2024,255.1
3/19/2024,247.43
3/20/2024,246.75
3/21/2024,250.23
3/22/2024,243.55
3/26/2024,239.93
3/27/2024,236.15
3/28/2024,240.05
4/1/2024,242.48
4/2/2024,240.6
4/3/2024,241.6
4/4/2024,243.7
4/5/2024,242.53
4/8/2024,239.95
4/9/2024,237.9
4/10/2024,238.65
4/12/2024,235.38
4/15/2024,229.68
4/16/2024,224.18
4/18/2024,222.18
4/19/2024,226.38
4/22/2024,231
4/23/2024,231.05
4/24/2024,229.95
4/25/2024,230.5
4/26/2024,232.3
4/29/2024,231.48
4/30/2024,231.2
5/2/2024,228.7
5/3/2024,228.68
5/6/2024,229.33
5/7/2024,231.95
5/8/2024,231.6
5/9/2024,227.95
5/10/2024,225.93
5/13/2024,225.98
5/14/2024,228.18
5/15/2024,229.15
5/16/2024,232.23
5/17/2024,230.5
5/21/2024,230.45
5/22/2024,230.65
5/23/2024,232.9
5/24/2024,231.83
5/27/2024,226.23
5/28/2024,228.03
5/29/2024,225.4
5/30/2024,218.48
5/31/2024,219.1
6/3/2024,222.05
6/4/2024,219.08
6/5/2024,225.75
6/6/2024,230.5
6/7/2024,242.28
6/10/2024,237.63
6/11/2024,238.03
6/12/2024,238.45
6/13/2024,241.3
6/14/2024,238.75
6/18/2024,245.93
6/19/2024,247.88
6/20/2024,245.2
6/21/2024,245.28
6/24/2024,245.28
6/25/2024,248.43
6/26/2024,247.6
6/27/2024,255.4
6/28/2024,257.43
7/1/2024,263.68
7/2/2024,269.1
